interval_width,algorithm,replication_number,interval_start,interval_end,duration
100,naive_algorithm,-1,264535,264635,0.0
100,sieve_of_eratosthenes,-1,826379,826479,0.10500168800354004
100,naive_algorithm,-1,643369,643469,0.0010013580322265625
10000,naive_algorithm,-1,916484,926484,0.0550384521484375
1000,sieve_of_eratosthenes,-1,31342,32342,0.003992557525634766
1000,sieve_of_eratosthenes,-1,780139,781139,0.10000014305114746
1000,sieve_of_eratosthenes,-1,829628,830628,0.10496759414672852
10,sieve_of_eratosthenes,-1,921441,921451,0.12100529670715332
10000,sieve_of_sundaram,-1,529616,539616,0.23599791526794434
1000,sieve_of_sundaram,-1,374498,375498,0.16201138496398926
100,sieve_of_sundaram,-1,80082,80182,0.030951976776123047
100,naive_algorithm,-1,232684,232784,0.0009996891021728516
100,sieve_of_sundaram,-1,354106,354206,0.15003418922424316
10,naive_algorithm,-1,314598,314608,0.0
1000,sieve_of_sundaram,-1,932726,933726,0.43000054359436035
1000,sieve_of_eratosthenes,-1,189263,190263,0.022998809814453125
100,naive_algorithm,-1,842042,842142,0.0010023117065429688
10000,naive_algorithm,-1,139402,149402,0.025000333786010742
1000,sieve_of_eratosthenes,-1,873481,874481,0.11800146102905273
1000,naive_algorithm,-1,186968,187968,0.0029993057250976562
1000,sieve_of_eratosthenes,-1,132051,133051,0.014963626861572266
100,sieve_of_eratosthenes,-1,850116,850216,0.11202740669250488
100,sieve_of_eratosthenes,-1,972148,972248,0.13200616836547852
1000,sieve_of_sundaram,-1,630559,631559,0.2800114154815674
1000,naive_algorithm,-1,787143,788143,0.005988597869873047
100,sieve_of_sundaram,-1,925400,925500,0.41900014877319336
10000,sieve_of_sundaram,-1,437602,447602,0.19400572776794434
100,sieve_of_eratosthenes,-1,838549,838649,0.10899639129638672
1000,sieve_of_eratosthenes,-1,43337,44337,0.0049974918365478516
100,naive_algorithm,-1,825649,825749,0.0
1000,naive_algorithm,-1,60102,61102,0.001966714859008789
100,naive_algorithm,-1,224191,224291,0.0009999275207519531
1000,naive_algorithm,-1,849788,850788,0.0049991607666015625
1000,naive_algorithm,-1,907993,908993,0.004999637603759766
1000,sieve_of_eratosthenes,-1,952108,953108,0.1190342903137207
10000,sieve_of_sundaram,-1,337011,347011,0.14400148391723633
1000,naive_algorithm,-1,557720,558720,0.004998445510864258
10000,sieve_of_sundaram,-1,327868,337868,0.1400003433227539
10000,naive_algorithm,-1,812235,822235,0.054967403411865234
10,sieve_of_eratosthenes,-1,204397,204407,0.024033784866333008
10,naive_algorithm,-1,964471,964481,0.0
